score,sentence1,sentence2,sbj1,sbj2
Sim3, دختری در حال نواختن گیتار است , یک مرد به شدت در حال نواختن گیتار است ,دختر,مرد
Sim3, مرد شدید نوازنده گیتار است , دختری در حال نواختن گیتار است ,مرد,دختر
Sim3, مرد به شدت در حال نواختن گیتار است , نوازنده گیتار عاشق یک دختر است ,مرد,نوازنده
Sim4, دختری در حال نواختن گیتار است , مرد به شدت در حال نواختن گیتار است ,دختر,مرد
Sim5, مردی سوار موتور است , مردی در حال رانندگی با موتور است ,مردی,مردی
Sim3, مردی در حال پارک کردن موتور است , مردی سوار موتور است ,مردی,مردی
Sim3, مردی سوار موتور است , یک موتورسوار در حال فرار از یک مرد است ,مردی,موتورسوار
Sim2, مرد سوار اسب می‌شود , مردی در حال رانندگی با موتور است ,مرد,مردی
Sim2, مرد سوار اسب می‌شود , مردی در حال پارک کردن موتور است ,مرد,مردی
Sim2, یک موتورسوار در حال فرار از یک مرد است , مرد سوار اسب می‌شود ,موتورسوار,مرد
Sim3, مردی سوار حیوان است , مردی سوار موتور است ,مردی,مردی
Sim4, یک شعبده بازی توسط شعبده باز در حال انجام است , مرد یک حقه شعبده بازی می‌کند ,بازی,مرد
Sim4, مرد ترفند جادویی انجام نمی‌دهد , مرد یک حقه شعبده بازی می‌کند ,مرد,مرد
Sim3, مرد یک حقه شعبده بازی می‌کند , بچه‌ای که در حال جادوگری است پیرمردی را فریب می‌دهد ,مرد,بچه
Sim2, مردی به طور خطرناکی چاقوها را به سمت درخت پرتاب می‌کند , مرد یک حقه شعبده بازی می‌کند ,مردی,مرد
Sim2, یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است , یک شعبده بازی توسط شعبده باز در حال انجام است ,مرد,بازی
Sim2, یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است , مرد ترفند جادویی انجام نمی‌دهد ,مرد,مرد
Sim2, بچه‌ای که در حال جادوگری است پیرمردی را فریب می‌دهد , یک مرد در حال پرتاب خطرناک چاقو به سمت درخت است ,بچه,مرد
Sim4, گیتار توسط یک خانم نواخته می‌شود , گیتار توسط دختری نواخته می‌شود ,گیتار,گیتار
Sim3, گیتار توسط یک خانم نواخته می‌شود , بازی برای خانم‌ها نیاز به یک گیتار دارد ,گیتار,بازی
Sim5, مرد در حال تمرین گیتار است , فرد در حال تمرین گیتار است ,مرد,فرد
Sim3, شخص تمرین کننده گیتار را دوست ندارد , گیتار توسط یک خانم نواخته می‌شود ,شخص,گیتار
Sim2, فرد در حال تمرین گیتار است , گیتار توسط یک خانم فروخته می‌شود ,فرد,گیتار
Sim2, فرد در حال تمرین گیتار است , بازی برای خانم‌ها نیاز به یک گیتار دارد ,فرد,بازی
Sim4, پسر با اشتیاق در لجن بازی می‌کند , پسر در لجن بازی می‌کند ,پسر,پسر
Sim3, پسر در لجن بازی می‌کند , پسر در گل بازی نمی‌کند ,پسر,پسر
Sim4, گربه در حال بازی با دستگاه است , یک وسیله بازی گربه را سرگرم می‌کند ,گربه,وسیله
Sim1, پسر در لجن بازی می‌کند , هیچ گربه‌ای با دستگاه بازی نمی‌کند ,پسر,گربه
Sim1, گربه در حال بازی با دستگاه است , پسر با اشتیاق در لجن بازی می‌کند ,گربه,پسر
Sim1, گربه در حال بازی با دستگاه است , لجن به سمت پسر بازیگر پرتاب می‌شود ,گربه,لجن
Sim2, گربه در حال بازی با دستگاه است , پسر در لجن بازی می‌کند ,گربه,پسر
Sim3, زن در حال خوردن چند قطعه گوشت خام خرد شده است , مقداری گوشت توسط زنی تکه تکه می‌شود ,زن,گوشت
Sim4, یک خانم دقیقا مقداری گوشت را برش می‌دهد , خانمی در حال بریدن مقداری گوشت است ,مقدار,خانم
Sim3, هیچ خانمی گوشت را برش نمی‌دهد , مقداری گوشت توسط زنی تکه تکه می‌شود ,خانم,گوشت
Sim4, مقداری گوشت توسط یک زن به هم دوخته می‌شود , خانمی در حال بریدن مقداری گوشت است ,گوشت,خانم
Sim5, پسری در سن نوجوانی با دوربین اینترنتی با دختری صحبت می‌کند , پسری در سن نوجوانی با وب کم با دختری صحبت می‌کند ,پسر,پسر
Sim4, پسری در سن نوجوانی با وب کم با دختری صحبت می‌کند , نوجوانان با وب کم با یک دختر و پسر صحبت می‌کنند ,پسر,نوجوان
Sim5, یک مرد با یک دوربین اینترنتی با دختری صحبت می‌کند , یک مرد با یک دوربین اینترنتی با دختری گپ می‌زند ,مرد,مرد
Sim3, یک مرد با یک دوربین اینترنتی با دختری صحبت می‌کند , پسری در نوجوانی با وب کم با دختری صحبت نمی‌کند ,مرد,پسر
Sim3, یک مرد با یک دوربین اینترنتی با دختری صحبت می‌کند , نوجوانان با وب کم با یک دختر و پسر صحبت می‌کنند ,مرد,نوجوان
Sim5, تخمها توسط یک شخص به شدت در یک کاسه خرد می‌شوند , شخصی به شدت در ظرفی تخم مرغ می‌زند ,تخم,شخص
Sim3, شخصی به شدت در ظرفی تخم مرغ می‌زند , شخصی تخمها را از یک کاسه خارج می‌کند ,شخص,شخص
Sim3, شخصی به شدت در ظرفی تخم مرغ می‌زند , هیچ خانمی نیست که در یک کاسه دو تخم مرغ را بزند و از سیم پیچ سیم استفاده کند ,شخص,خانم
Sim5, مصاحبه توسط مرد انجام می‌شود , مرد مصاحبه می‌کند ,مصاحبه,مرد
Sim3, مصاحبه کننده به مرد وقت استراحت می‌دهد , مرد مصاحبه می‌کند ,مصاحبه,مرد
Sim5, یک ماشین سفید توسط این مرد رانده می‌شود , شخصی در حال رانندگی با ماشین سفید است ,ماشین,شخص
Sim4, هیچ ماشین سفیدی توسط این مرد رانده نمی‌شود , یک ماشین سفید توسط این مرد رانده می‌شود ,ماشین,ماشین
Sim1, مرد مصاحبه می‌کند , شخصی در حال رانندگی با ماشین سفید است ,مرد,شخص
Sim1, یک ماشین سفید توسط این مرد رانده می‌شود , مصاحبه توسط مرد انجام می‌شود ,ماشین,مصاحبه
Sim1, مرد مصاحبه را انکار می‌کند , یک ماشین سفید توسط این مرد رانده می‌شود ,,ماشین
Sim1, مرد مصاحبه می‌کند , یک ماشین سفید توسط این مرد رانده می‌شود ,مرد,ماشین
Sim4, هیچ مردی از طناب بالا نمی‌رود , یک طناب توسط یک مرد بالا می‌رود ,مردی,طناب
Sim3, یک کوهنورد مردی را طناب می‌زند , یک طناب توسط یک مرد بالا می‌رود ,کوهنورد,طناب
Sim4, مردی بی خیال هویج را با دستگاه خرد می‌کند , مردی در حال خرد کردن هویج با دستگاه است ,مردی,مردی
Sim3, مردی هویج را از دستگاه خارج می‌کند , مردی در حال خرد کردن هویج با دستگاه است ,مردی,مردی
Sim1, یک طناب توسط یک مرد بالا می‌رود , مردی بی خیال هویج را با دستگاه خرد می‌کند ,طناب,مردی
Sim1, یک طناب توسط یک مرد بالا می‌رود , مردی در حال خوردن هویج خرد شده توسط دستگاه است ,طناب,مردی
Sim1, مردی در حال خرد کردن هویج با دستگاه است , یک کوهنورد مردی را طناب می‌زند ,مردی,کوهنورد
Sim1, یک طناب توسط یک مرد بالا می‌رود , مردی در حال خرد کردن هویج با دستگاه است ,طناب,مردی
Sim3, گربه از نعلبکی شیر می‌لیسد , گربه از بشقاب شیر نمی‌لیسد ,گربه,گربه
Sim5, مقداری شیر توسط گربه با گرسنگی در حال نوشیدن است , گربه با گرسنگی شیر می‌خورد ,شیر,گربه
Sim4, هیچ گربه‌ای با گرسنگی شیر نمی‌خورد , گربه با گرسنگی شیر می‌خورد ,گربه,گربه
Sim3, نوشیدن شیر به گرسنگی گربه کمک می‌کند , گربه از نعلبکی شیر می‌لیسد ,نوشیدن,گربه
Sim4, گربه دارد یک ظرف کم عمق پر از شیر را لیس می‌زند , گربه با گرسنگی شیر می‌خورد ,,گربه
Sim4, گربه از بشقاب شیر نمی‌لیسد , گربه با گرسنگی شیر می‌خورد ,گربه,گربه
Sim3, نوزادی در حال بازی با سگ است , یک پسر کوچک به یک سگ سرزنش می‌کند ,نوزاد,پسر
Sim5, زنی در حال پوست کندن یک سیب زمینی است , یک زن سیب زمینی را پوست می‌کند ,زنی,زن
Sim5, مرد در حال بریدن مقداری سیب زمینی است , مرد در حال خرد کردن سیب زمینی است ,مرد,مرد
Sim4, مرد در حال خوردن برش‌های سیب زمینی است , مرد در حال خرد کردن سیب زمینی است ,مرد,مرد
Sim2, زنی در حال پوست کندن یک سیب زمینی است , مرد در حال خوردن برش‌های سیب زمینی است ,زنی,مرد
Sim4, مرد در حال خرد کردن سیب زمینی است , یک زن سیب زمینی را پوست می‌کند ,مرد,زن
Sim3, مرد در حال خرد کردن سیب زمینی است , هیچ زنی پوست سیب زمینی را نمی‌گیرد ,مرد,زنی
Sim3, مرد در حال خرد کردن سیب زمینی است , زنی در حال پوست کندن یک سیب زمینی است ,مرد,زنی
Sim3, مردی در حال عکس گرفتن از یک دریاچه است , مردی در حال پاره کردن تصاویر یک دریاچه است ,مردی,مردی
Sim4, این مرد در حال تنظیم دوربین و گرفتن عکس غروب خورشید در ساحل است , مرد دوربین را کنار گذاشته و از ساحل دور می‌شود ,مرد,مرد
Sim4, یک زن در حال باز کردن دوخت با ماشین است , خانمی در حال خیاطی با دستگاه است ,زن,خانم
Sim5, یک زن از دستگاهی که برای خیاطی ساخته شده استفاده می‌کند , خانمی از چرخ خیاطی استفاده می‌کند ,زن,خانم
Sim5, یک تخم مرغ توسط یک زن در یک کاسه شکسته می‌شود , زنی در حال شکستن تخم مرغ در یک کاسه است ,تخم,زنی
Sim3, زن در حال شکستن دو تخم مرغ در یک کاسه شیشه‌ای است , زن در حال شکستن دو تخم مرغ در یک کاسه شیشه‌ای نیست ,زن,زن
Sim4, زن در حال شکستن دو تخم مرغ در ظرفی است که از شیشه ساخته شده است , زنی در حال شکستن تخم مرغ در یک کاسه است ,زن,زنی
Sim4, زن در حال شکستن دو تخم مرغ در یک کاسه شیشه‌ای است , هیچ زنی تخم مرغ را به یک کاسه نمی‌شکند ,زن,زنی
Sim3, زن در حال شکستن دو تخم مرغ در یک کاسه شیشه‌ای است , یک زن در حال قرار دادن یک کاسه با ترک در نزدیکی تخم مرغ است ,زن,زن
Sim4, زن در حال شکستن دو تخم مرغ در یک کاسه شیشه‌ای است , زنی در حال شکستن تخم مرغ در یک کاسه است ,زن,زنی
Sim4, چند مرد کریکت را تماشا می‌کنند , چند مرد کریکت بازی می‌کنند ,مرد,کریکت
Sim5, مردم کریکت بازی می‌کنند , برخی از افراد در حال بازی کریکت هستند ,دیگر,برخی
Sim4, چند مرد با نشاط کریکت بازی می‌کنند , مردم کریکت بازی می‌کنند ,مرد,دیگر
Sim3, مردی روی برخی از برشهای نان سیر می‌گذارد , مردی در حال برداشتن سیر از چند برش نان است ,مردی,مردی
Sim5, دو کودک در یک استخر شنا با شناور تمساح رنگ سبز بازی می‌کنند , دو کودک در یک استخر شنا با شناور تمساح که سبز است بازی می‌کنند ,کودک,کودک
Sim4, دو کودک در یک استخر شنا با شناور تمساح رنگ سبز بازی می‌کنند , دو کودک از استخر شنا شناور تمساح رنگ سبز را بیرون می‌کشند ,کودک,کودک
Sim5, یک تمساح بادی توسط دو بچه در استخر تحت فشار قرار می‌گیرد , دو کودک در حال فشار دادن یک تمساح بادی در استخر هستند ,تمساح,کودک
Sim3, دو کودک در حال فشار دادن یک تمساح بادی در استخر هستند , دو کودک در حال عبور از یک تمساح در استخر بادی هستند ,کودک,کودک
Sim4, دو کودک در یک استخر شنا با شناور تمساح رنگ سبز بازی می‌کنند , یک تمساح بادی توسط دو بچه در استخر تحت فشار قرار می‌گیرد ,کودک,تمساح
Sim4, دو کودک در حال فشار دادن یک تمساح بادی در استخر هستند , دو کودک از استخر شنا شناور تمساح رنگ سبز را بیرون می‌کشند ,کودک,کودک
Sim5, شخصی از اسب می‌افتد , شخصی از اسب می‌افتد ,شخص,شخص
Sim3, شخصی از اسب می‌افتد , اسبی روی کسی می‌افتد ,شخص,اسب
Sim4, مرد ناگهان از یک اسب رد می‌شود , مرد در حال رانده شدن از یک اسب است ,مرد,مرد
Sim4, زنی انگشتانش را روی میز می‌کوبد , زنی انگشتانش را روی میز می‌زند ,زنی,زنی
Sim5, سگی در حال هل دادن یک کودک نوپا به درون گودال باران است , سگی در حال هل دادن یک کودک نوپا به درون گودال باران است ,سگ,سگ
Sim4, سگی در حال هل دادن یک کودک نوپا به درون گودال باران است , سگی در حال بیرون آوردن یک کودک نوپا از یک گودال باران است ,سگ,سگ
Sim4, سگ پسر را به آب نمی‌زند , سگ پسری را به آب می‌زند ,,
Sim4, سگی در حال هل دادن یک کودک نوپا به درون گودال باران است , پسری توسط سگ در آب کوبیده می‌شود ,سگ,پسر
Sim4, سگی در حال هل دادن یک کودک نوپا به درون گودال باران است , سگ پسری را به آب می‌زند ,سگ,
Sim4, هیچ مردی یک کاسه غلات نمی‌خورد , مردی در حال خوردن یک کاسه غلات است ,مردی,مردی
Sim5, مردی در حال خوردن یک کاسه غلات است , غلات توسط مرد خورده می‌شود ,مردی,غلات
Sim4, هیچ مردی غلات نمی‌خورد , مردی در حال خوردن یک کاسه غلات است ,مردی,مردی
Sim5, مردی با گرسنگی در حال خوردن یک کاسه غلات است , مرد در حال خوردن غلات است ,مردی,مرد
Sim4, مرد در حال خوردن غلات است , هیچ مردی یک کاسه غلات نمی‌خورد ,مرد,مردی
Sim3, فرد در حال نواختن فلوت است , مردی در حال نواختن گیتار است ,فرد,مردی
Sim3, مردی در حال نواختن گیتار است , مردی که فلوت نمی‌نوازد ,مردی,فلوت
Sim3, مرد در حال نواختن فلوت است , مردی در حال نواختن گیتار است ,مرد,مردی
Sim5, زن به آرامی به گوشت شکر اضافه می‌کند , زن در حال افزودن شکر به گوشت است ,زن,زن
Sim4, زن در حال افزودن شکر به گوشت است , یک زن در حال افزودن ادویه به مقداری گوشت است ,زن,زن
Sim4, یک سگ در حال باز کردن یک قوطی غذا است , یک سگ در حال باز کردن یک ظرف غذا است ,سگ,سگ
Sim3, سگی در حال گاز گرفتن قوطی است , یک سگ در حال باز کردن یک ظرف غذا است ,سگ,سگ
Sim3, یک سگ در حال باز کردن یک قوطی غذا است , سگی در حال گاز گرفتن قوطی است ,سگ,سگ
Sim5, گربه‌ای با هندوانه بازی می‌کند , یک گربه در حال بازی با هندوانه است ,گربه,گربه
Sim4, گربه‌ای با هندوانه بازی می‌کند , گربه با هندوانه بازی نمی‌کند ,گربه,گربه
Sim5, یک گربه در حال بازی با هندوانه است , گربه در حال بازی با هندوانه است ,گربه,گربه
Sim3, گربه در حال بازی با هندوانه است , هیچ گربه‌ای با هندوانه بازی نمی‌کند ,گربه,گربه
Sim5, پسر در حال نواختن گیتار است , پسری در حال نواختن گیتار است ,پسر,پسر
Sim4, پسر در حال نواختن گیتار است , یک بچه در حال نواختن گیتار است ,پسر,بچه
Sim5, پسری در حال نواختن گیتار است , یک بچه در حال نواختن گیتار است ,پسر,بچه
Sim4, زن بدون ترس در آب اسکی می‌کند , زن در حال اسکی روی آب است ,زن,زن
Sim4, زن در حال اسکی روی آب است , زنی در حال تماشای دریاچه است ,زن,زنی
Sim5, شخصی لنز دوربین را به میخ می‌کوبد , شخصی لنز دوربین را به میخ می‌کوبد ,شخص,شخص
Sim3, شخصی لنز دوربین را به میخ می‌کوبد , کسی نیست که لنز دوربین را به میخ بزند ,شخص,کس
Sim4, شخصی در حال ناخن زدن لنز دوربین با صدای بلند بلند است , شخصی لنز دوربین را به میخ می‌کوبد ,شخص,شخص
Sim5, شخصی در حال خرد کردن یک پیاز است , شخصی در حال بریدن یک پیاز است ,شخص,شخص
Sim4, شخصی در حال خوردن یک پیاز خرد شده است , شخصی در حال بریدن یک پیاز است ,شخص,شخص
Sim4, هیچ شخصی پیاز را برش نمی‌دهد , شخصی در حال بریدن یک پیاز است ,شخص,شخص
Sim3, شخصی در حال بریدن یک پیاز است , شخصی در حال خوردن یک پیاز خرد شده است ,شخص,شخص
Sim4, شخصی در حال بسته بندی پیاز است , شخصی در حال بریدن یک پیاز است ,شخص,شخص
Sim3, فردی نزدیک پیاز بریده شده است , شخصی در حال بریدن یک پیاز است ,فرد,شخص
Sim4, بانوی شرقی در حال برش یک هویج به قطعات نازک است , بانوی شرقی هویج را به قطعات نازک نمی‌برد ,بانو,بانو
Sim4, بانوی شرقی هویج را به قطعات نازکی برش می‌دهد , زنی در حال خرد کردن یک هویج است ,بانو,زنی
Sim3, بانوی شرقی هویج را به قطعات نازک نمی‌برد , زنی در حال خرد کردن یک هویج است ,بانو,زنی
Sim2, هیچ زنی هویج را برش نمی‌زند , بانوی شرقی در حال برش یک هویج به قطعات نازک است ,زنی,بانو
Sim3, مردی در حال ریختن یک بشقاب پنیر خرد شده در یک قابلمه سس است , مردی در حال ریختن یک قابلمه سس پنیر در یک بشقاب خرد شده است ,مردی,مردی
Sim3, خانم در حال افزودن پنیر به سس است , زن در حال حذف پنیر از سس است ,خانم,زن
Sim3, مردی در حال ریختن یک بشقاب پنیر خرد شده در یک قابلمه سس است , زن در حال افزودن پنیر به سس است ,مردی,زن
Sim3, مردی در حال ریختن یک بشقاب پنیر خرد شده در یک قابلمه سس است , زن در حال حذف پنیر از سس است ,مردی,زن
Sim4, فرد قد بلندی در حال آتش زدن دوربین‌ها است , فرد در حال آتش زدن دوربین‌ها است ,فرد,فرد
Sim3, فرد در حال آتش زدن دوربین‌ها است , شخصی در حال تعمیر برخی دوربین‌ها با مشعل ضربه‌ای است ,فرد,شخص
Sim5, مردی در حال نواختن گیتار است , یک نفر در حال نواختن گیتار است ,مردی,نفر
Sim3, مردی در حال نواختن گیتار است , هیچ مردی گیتار نمی‌زند ,مردی,مردی
Sim4, مرد در حال نواختن گیتار آکوستیک است , یک نفر در حال نواختن گیتار است ,مرد,نفر
Sim4, مرد در حال نواختن گیتار آکوستیک است , هیچ مردی گیتار نمی‌زند ,مرد,مردی
Sim3, یک هویج توسط شخصی تکه تکه می‌شود , شخصی در حال خرد کردن یک پیاز است ,هویج,شخص
Sim4, مرد در حال بریدن سیب زمینی است , فرد با دقت یک سیب زمینی را برش می‌دهد ,مرد,فرد
Sim4, مرد در حال پخت برش‌های سیب زمینی است , مرد در حال بریدن سیب زمینی است ,مرد,مرد
Sim5, مرد در حال بریدن سیب زمینی است , فرد در حال بریدن سیب زمینی است ,مرد,فرد
Sim5, کسی در حال بریدن یک گوجه فرنگی است , شخصی در حال بریدن گوجه فرنگی است ,کس,شخص
Sim4, زن یک گوجه فرنگی کامل در دست دارد , خانم در حال خرد کردن یک گوجه فرنگی است ,زن,خانم
Sim4, زن در حال بریدن یک گوجه فرنگی است , شخصی در حال بریدن گوجه فرنگی است ,زن,شخص
Sim3, مردی مشغول تمیز کردن ظرف است , مردی در حال تهیه مقداری ظرف است ,مردی,مردی
Sim3, زن در حال بریدن پیاز با چاقو نیست , زن در حال بریدن پیاز با چاقو است ,زن,زن
Sim1, مردی مشغول تمیز کردن ظرف است , زن در حال بریدن پیاز با چاقو است ,مردی,زن
Sim2, زن در حال بریدن پیاز با چاقو است , مردی در حال تهیه مقداری ظرف است ,زن,مردی
Sim5, برخی از دوندگان در یک مسابقه شرکت می‌کنند , دوندگان در یک مسابقه شرکت می‌کنند ,برخی,دوندگان
Sim4, برخی از دوندگان در یک مسابقه شرکت می‌کنند , دوندگان در حال دویدن در اطراف یک پیست هستند ,برخی,دوندگان
Sim4, دوندگان در حال دویدن در اطراف یک پیست هستند , دوندگان در مسابقه شرکت نمی‌کنند ,دوندگان,دوندگان
Sim4, یک مرد در حال مسابقه است , مردی می‌دود ,مرد,مردی
Sim3, هیچ مردی در جاده نمی‌دود , مردی در حال دویدن در جاده است ,,مردی
Sim4, مردی می‌دود , هیچ مردی در جاده نمی‌دود ,مردی,
Sim2, مردی بیکار است , مردی با بینی خود صفحه کلید بازی می‌کند ,مردی,مردی
Sim5, مرد با سرگرمی با بینی خود پیانو می‌نوازد , مردی با بینی خود صفحه کلید بازی می‌کند ,مرد,مردی
Sim3, هیچ مردی با بینی پیانو نمی‌زند , مردی با بینی خود صفحه کلید بازی می‌کند ,مردی,مردی
Sim4, مرد با بینی پیانو می‌زند , مردی با بینی خود صفحه کلید بازی می‌کند ,مرد,مردی
Sim4, کودک کرگدن از کرگدن بزرگسال دوری می‌کند , کودک کرگدن در حال پیروی از کرگدن بزرگسال است ,کودک,کودک
Sim3, کودک کرگدن از کرگدن بزرگسال دوری می‌کند , نوزاد کرگدن در حال قدم زدن با مادر خود در اطراف قلم است ,کودک,نوزاد
Sim3, نوزاد کرگدن در حال قدم زدن با مادر خود در اطراف قلم است , نوزاد و بزرگسال توسط کرگدن دنبال می‌شود ,نوزاد,نوزاد
Sim4, نوزاد کرگدن در حال قدم زدن با مادر خود در اطراف قلم است , کودک کرگدن در حال پیروی از کرگدن بزرگسال است ,نوزاد,کودک
Sim5, مردی سوار موتور است , مردی موتورسواری می‌کند ,مردی,مردی
Sim4, مردی از طریق شهر در حال موتور سواری است , مردی موتورسواری می‌کند ,مردی,مردی
Sim5, بعضی از افراد آواز می‌خوانند , گروهی آواز می‌خوانند ,بعضی,گروهی
Sim5, بعضی‌ها آواز می‌خوانند , چند نفر آواز می‌خوانند ,بعضی,نفر
Sim5, یک مرد در حال رقصیدن است , مردی در حال رقصیدن است ,مرد,مردی
Sim2, مردی در حال رقصیدن است , مردی ساکت است ,مردی,مردی
Sim2, مردی در حال رقصیدن است , مردی صحبت می‌کند ,مردی,مردی
Sim4, مردی با دقت از یک طناب بالا می‌رود , مردی در حال بالا رفتن از طناب است ,مردی,مردی
Sim3, مردی طناب را باز می‌کند , مردی در حال بالا رفتن از طناب است ,مردی,مردی
Sim3, یک مرد قبل از صعود در حال طناب زدن است , مردی در حال بالا رفتن از طناب است ,مرد,مردی
Sim3, کوهنوردی وجود ندارد , یک پاندا در حال بالا رفتن است ,کوهنورد,پاندا
Sim2, یک پاندا در حال کوهنوردی است , مردی در حال بالا رفتن از طناب است ,پاندا,مردی
Sim2, یک پاندا در حال بالا رفتن است , مردی در حال بالا رفتن از طناب است ,پاندا,مردی
Sim5, زنی در قفس به زیبایی می‌رقصد , زنی در قفس می‌رقصد ,زنی,زنی
Sim4, یک زن برای رقص در قفس است , زنی در قفس می‌رقصد ,زن,زنی
Sim5, زن در حال رقص است , خانم در حال رقص است ,زن,خانم
Sim4, زن در حال رقص است , زن نمی‌رقصد ,زن,زن
Sim3, هیچ زنی در قفس نمی‌رقصد , زن در حال رقص است ,زن,زن
Sim3, یک زن برای رقص در قفس است , زن در حال رقص است ,زن,زن
Sim4, چهار نفر روی قایق شناور هستند , هیچ کس روی قایق شناور نیست ,نفر,کس
Sim4, گربه‌ای در حال خوردن ذرت روی بلال است , هیچ گربه‌ای روی ذرت بلغور ذرت نمی‌خورد ,گربه,گربه
Sim5, گربه مقداری ذرت می‌خورد , گربه مقداری ذرت می‌خورد ,گربه,گربه
Sim4, شخصی در حال خرد کردن یک گوجه فرنگی است , هیچ کس گوجه فرنگی را خرد نمی‌کند ,شخص,کس
Sim5, فرد به سرعت در حال خرد کردن یک سبزی است , فرد در حال خرد کردن یک سبزی است ,فرد,فرد
Sim4, این شخص سبزی را برش نمی‌زند , فرد در حال خرد کردن یک سبزی است ,شخص,فرد
Sim5, شخصی در حال بریدن گوجه فرنگی است , فرد در حال خرد کردن یک سبزی است ,شخص,فرد
Sim4, شخصی در حال خرد کردن یک گوجه فرنگی است , فرد در حال خرد کردن یک سبزی است ,شخص,فرد
Sim4, هیچ دختری نیست که پیانو بنوازد , یک دختر کوچک در حال نواختن پیانو است ,دختر,دختر
Sim3, هیچ دختری نیست که پیانو بنوازد , یک دختر کوچک در حال نواختن پیانوی بزرگ روی صحنه است ,دختر,دختر
Sim4, یک دختر کوچک در حال نواختن پیانو است , هیچ دختربچه‌ای روی صحنه پیانوی بزرگ بازی نمی‌کند ,دختر,دختربچه‌ای
Sim4, یک دختر کوچک در حال نواختن پیانوی بزرگ روی صحنه است , یک دختر کوچک در حال نواختن پیانو است ,دختر,دختر
Sim5, مردی در حال نواختن گیتار است , شخصی در حال نواختن گیتار است ,مردی,شخص
Sim2, مرد در حال رقصیدن است , سه زن ایستاده‌اند ,مرد,زن
Sim3, مرد در حال رقصیدن است , سه زن در حال رقصیدن هستند ,مرد,زن
Sim4, هیچ مردی با فلوت بامبو بازی نمی‌کند , مردی در حال نواختن فلوت بامبو است ,مردی,مردی
Sim4, مردی در حال نواختن فلوت بامبو است , فلوت توسط مرد نواخته می‌شود ,مردی,فلوت
Sim4, مردی در حال نواختن فلوت بامبو است , مرد فلوت نمی‌زند ,مردی,مرد
Sim4, مردی در حال نواختن فلوت ساخته شده از بامبو است , مرد در حال نواختن فلوت است ,مردی,مرد
Sim4, شخصی غالبا با چاقو قارچ می‌برد , شخصی در حال بریدن چند قارچ است ,شخص,شخص
Sim4, شخصی در حال بریدن چند قارچ است , شخصی قارچ‌ها را کنار می‌گذارد ,شخص,شخص
Sim5, ببر در حال قدم زدن در اطراف قفس است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim4, ببر در حال قدم زدن در خارج از قفس است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim4, یک ببر بدون هدف در حال قدم زدن است , یک ببر بی هدف در حال قدم زدن است ,ببر,ببر
Sim3, یک ببر بی هدف در حال قدم زدن است , ببر نشسته است ,ببر,ببر
Sim4, یک ببر بدون هدف در حال قدم زدن است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim3, ببر نشسته است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim4, یک ببر بی هدف در حال قدم زدن است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim4, یک ببر بی هدف در حال قدم زدن است , ببر در حال قدم زدن در اطراف قفس است ,ببر,ببر
Sim5, یک میمون سگ را مسواک می‌زند , میمون سگ را مسواک می‌زند ,,
Sim4, زن پیاز می‌خورد , یک زن به سرعت در حال بریدن یک پیاز است ,زن,زن
Sim5, مردی کلاه سخت به سر دارد و می‌رقصد , مردی کلاهی پوشیده است که سخت است و در حال رقص است ,مردی,مردی
Sim2, مردی کلاه سخت به سر دارد و می‌رقصد , مردی برهنه است و ایستاده است ,مردی,مردی
Sim5, مردی با کلاه سخت در حال رقصیدن است , مرد با کلاه سخت در حال رقصیدن است ,مردی,مرد
Sim4, هیچ مردی با کلاه سخت نمی‌رقصد , مردی با کلاه سخت در حال رقصیدن است ,,مردی
Sim5, مرد با کلاه سخت در حال رقصیدن است , مردی کلاه سخت به سر دارد و می‌رقصد ,مرد,مردی
Sim4, مردی کلاه سخت به سر دارد و می‌رقصد , هیچ مردی با کلاه سخت نمی‌رقصد ,مردی,
Sim2, مردی برهنه است و ایستاده است , مردی با کلاه سخت در حال رقصیدن است ,مردی,مردی
Sim5, مردی کلاه سخت به سر دارد و می‌رقصد , مردی با کلاه سخت در حال رقصیدن است ,مردی,مردی
Sim3, دو پسر در حال تحصیل هستند , دو پسر در حال انجام یک بازی ویدیویی هستند ,پسر,پسر
Sim3, دو پسر روی کاناپه مشغول خواندن کتاب هستند , دو پسر روی نیمکت مشغول بازی‌های ویدیویی هستند ,پسر,پسر
Sim4, دو پسر روی نیمکت مشغول بازی‌های ویدیویی هستند , دو پسر در حال انجام یک بازی ویدیویی هستند ,پسر,پسر
Sim3, مرد در حال خرد کردن سبزیجات است , خانمی در حال بریدن سیب زمینی است ,مرد,خانم
Sim3, خانم در حال شکستن یک تخم مرغ برای مخلوط کن است , خانم برای مخلوط کن تخم مرغ نمی‌شکند ,خانم,خانم
Sim4, خانم با دقت گوشت را تکه تکه می‌کند , خانم در حال خرد کردن گوشت است ,خانم,خانم
